GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD03,Estimate; Male: - Private for-profit wage and salary workers:
HD02_VD03,Margin of Error; Male: - Private for-profit wage and salary workers:
HD01_VD04,Estimate; Male: - Private for-profit wage and salary workers: - Employee of private company workers
HD02_VD04,Margin of Error; Male: - Private for-profit wage and salary workers: - Employee of private company workers
HD01_VD05,Estimate; Male: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD02_VD05,Margin of Error; Male: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD01_VD06,Estimate; Male: - Private not-for-profit wage and salary workers
HD02_VD06,Margin of Error; Male: - Private not-for-profit wage and salary workers
HD01_VD07,Estimate; Male: - Local government workers
HD02_VD07,Margin of Error; Male: - Local government workers
HD01_VD08,Estimate; Male: - State government workers
HD02_VD08,Margin of Error; Male: - State government workers
HD01_VD09,Estimate; Male: - Federal government workers
HD02_VD09,Margin of Error; Male: - Federal government workers
HD01_VD10,Estimate; Male: - Self-employed in own not incorporated business workers
HD02_VD10,Margin of Error; Male: - Self-employed in own not incorporated business workers
HD01_VD11,Estimate; Male: - Unpaid family workers
HD02_VD11,Margin of Error; Male: - Unpaid family workers
HD01_VD12,Estimate; Female:
HD02_VD12,Margin of Error; Female:
HD01_VD13,Estimate; Female: - Private for-profit wage and salary workers:
HD02_VD13,Margin of Error; Female: - Private for-profit wage and salary workers:
HD01_VD14,Estimate; Female: - Private for-profit wage and salary workers: - Employee of private company workers
HD02_VD14,Margin of Error; Female: - Private for-profit wage and salary workers: - Employee of private company workers
HD01_VD15,Estimate; Female: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD02_VD15,Margin of Error; Female: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD01_VD16,Estimate; Female: - Private not-for-profit wage and salary workers
HD02_VD16,Margin of Error; Female: - Private not-for-profit wage and salary workers
HD01_VD17,Estimate; Female: - Local government workers
HD02_VD17,Margin of Error; Female: - Local government workers
HD01_VD18,Estimate; Female: - State government workers
HD02_VD18,Margin of Error; Female: - State government workers
HD01_VD19,Estimate; Female: - Federal government workers
HD02_VD19,Margin of Error; Female: - Federal government workers
HD01_VD20,Estimate; Female: - Self-employed in own not incorporated business workers
HD02_VD20,Margin of Error; Female: - Self-employed in own not incorporated business workers
HD01_VD21,Estimate; Female: - Unpaid family workers
HD02_VD21,Margin of Error; Female: - Unpaid family workers
