GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Income in the past 12 months below poverty level:
HD02_VD02,Margin of Error; Income in the past 12 months below poverty level:
HD01_VD03,Estimate; Income in the past 12 months below poverty level: - Male:
HD02_VD03,Margin of Error; Income in the past 12 months below poverty level: - Male:
HD01_VD04,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years
HD02_VD04,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years
HD01_VD05,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years
HD02_VD05,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years
HD01_VD06,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years
HD02_VD06,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years
HD01_VD07,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years
HD02_VD07,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years
HD01_VD08,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years
HD02_VD08,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years
HD01_VD09,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years
HD02_VD09,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years
HD01_VD10,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years
HD02_VD10,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years
HD01_VD11,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years
HD02_VD11,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years
HD01_VD12,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over
HD02_VD12,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over
HD01_VD13,Estimate; Income in the past 12 months below poverty level: - Female:
HD02_VD13,Margin of Error; Income in the past 12 months below poverty level: - Female:
HD01_VD14,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years
HD02_VD14,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years
HD01_VD15,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years
HD02_VD15,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years
HD01_VD16,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years
HD02_VD16,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years
HD01_VD17,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years
HD02_VD17,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years
HD01_VD18,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years
HD02_VD18,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years
HD01_VD19,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years
HD02_VD19,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years
HD01_VD20,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years
HD02_VD20,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years
HD01_VD21,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years
HD02_VD21,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years
HD01_VD22,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over
HD02_VD22,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over
HD01_VD23,Estimate; Income in the past 12 months at or above poverty level:
HD02_VD23,Margin of Error; Income in the past 12 months at or above poverty level:
HD01_VD24,Estimate; Income in the past 12 months at or above poverty level: - Male:
HD02_VD24,Margin of Error; Income in the past 12 months at or above poverty level: - Male:
HD01_VD25,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years
HD02_VD25,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years
HD01_VD26,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years
HD02_VD26,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years
HD01_VD27,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years
HD02_VD27,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years
HD01_VD28,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years
HD02_VD28,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years
HD01_VD29,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years
HD02_VD29,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years
HD01_VD30,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years
HD02_VD30,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years
HD01_VD31,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years
HD02_VD31,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years
HD01_VD32,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years
HD02_VD32,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years
HD01_VD33,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over
HD02_VD33,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over
HD01_VD34,Estimate; Income in the past 12 months at or above poverty level: - Female:
HD02_VD34,Margin of Error; Income in the past 12 months at or above poverty level: - Female:
HD01_VD35,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years
HD02_VD35,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years
HD01_VD36,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years
HD02_VD36,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years
HD01_VD37,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years
HD02_VD37,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years
HD01_VD38,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years
HD02_VD38,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years
HD01_VD39,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years
HD02_VD39,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years
HD01_VD40,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years
HD02_VD40,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years
HD01_VD41,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years
HD02_VD41,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years
HD01_VD42,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years
HD02_VD42,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years
HD01_VD43,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
HD02_VD43,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
