GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Europe:
HD02_VD02,Margin of Error; Europe:
HD01_VD03,Estimate; Europe: - Entered 2010 or later
HD02_VD03,Margin of Error; Europe: - Entered 2010 or later
HD01_VD04,Estimate; Europe: - Entered 2010 or later - Naturalized U.S. citizen
HD02_VD04,Margin of Error; Europe: - Entered 2010 or later - Naturalized U.S. citizen
HD01_VD05,Estimate; Europe: - Entered 2010 or later - Not a U.S. citizen
HD02_VD05,Margin of Error; Europe: - Entered 2010 or later - Not a U.S. citizen
HD01_VD06,Estimate; Europe: - Entered 2000 to 2009
HD02_VD06,Margin of Error; Europe: - Entered 2000 to 2009
HD01_VD07,Estimate; Europe: - Entered 2000 to 2009 - Naturalized U.S. citizen
HD02_VD07,Margin of Error; Europe: - Entered 2000 to 2009 - Naturalized U.S. citizen
HD01_VD08,Estimate; Europe: - Entered 2000 to 2009 - Not a U.S. citizen
HD02_VD08,Margin of Error; Europe: - Entered 2000 to 2009 - Not a U.S. citizen
HD01_VD09,Estimate; Europe: - Entered 1990 to 1999:
HD02_VD09,Margin of Error; Europe: - Entered 1990 to 1999:
HD01_VD10,Estimate; Europe: - Entered 1990 to 1999: - Naturalized U.S. citizen
HD02_VD10,Margin of Error; Europe: - Entered 1990 to 1999: - Naturalized U.S. citizen
HD01_VD11,Estimate; Europe: - Entered 1990 to 1999: - Not a U.S. citizen
HD02_VD11,Margin of Error; Europe: - Entered 1990 to 1999: - Not a U.S. citizen
HD01_VD12,Estimate; Europe: - Entered before 1990:
HD02_VD12,Margin of Error; Europe: - Entered before 1990:
HD01_VD13,Estimate; Europe: - Entered before 1990: - Naturalized U.S. citizen
HD02_VD13,Margin of Error; Europe: - Entered before 1990: - Naturalized U.S. citizen
HD01_VD14,Estimate; Europe: - Entered before 1990: - Not a U.S. citizen
HD02_VD14,Margin of Error; Europe: - Entered before 1990: - Not a U.S. citizen
HD01_VD15,Estimate; Asia:
HD02_VD15,Margin of Error; Asia:
HD01_VD16,Estimate; Asia: - Entered 2010 or later
HD02_VD16,Margin of Error; Asia: - Entered 2010 or later
HD01_VD17,Estimate; Asia: - Entered 2010 or later - Naturalized U.S. citizen
HD02_VD17,Margin of Error; Asia: - Entered 2010 or later - Naturalized U.S. citizen
HD01_VD18,Estimate; Asia: - Entered 2010 or later - Not a U.S. citizen
HD02_VD18,Margin of Error; Asia: - Entered 2010 or later - Not a U.S. citizen
HD01_VD19,Estimate; Asia: - Entered 2000 to 2009
HD02_VD19,Margin of Error; Asia: - Entered 2000 to 2009
HD01_VD20,Estimate; Asia: - Entered 2000 to 2009 - Naturalized U.S. citizen
HD02_VD20,Margin of Error; Asia: - Entered 2000 to 2009 - Naturalized U.S. citizen
HD01_VD21,Estimate; Asia: - Entered 2000 to 2009 - Not a U.S. citizen
HD02_VD21,Margin of Error; Asia: - Entered 2000 to 2009 - Not a U.S. citizen
HD01_VD22,Estimate; Asia: - Entered 1990 to 1999:
HD02_VD22,Margin of Error; Asia: - Entered 1990 to 1999:
HD01_VD23,Estimate; Asia: - Entered 1990 to 1999: - Naturalized U.S. citizen
HD02_VD23,Margin of Error; Asia: - Entered 1990 to 1999: - Naturalized U.S. citizen
HD01_VD24,Estimate; Asia: - Entered 1990 to 1999: - Not a U.S. citizen
HD02_VD24,Margin of Error; Asia: - Entered 1990 to 1999: - Not a U.S. citizen
HD01_VD25,Estimate; Asia: - Entered before 1990:
HD02_VD25,Margin of Error; Asia: - Entered before 1990:
HD01_VD26,Estimate; Asia: - Entered before 1990: - Naturalized U.S. citizen
