GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Income in the past 12 months below poverty level:
HD02_VD02,Margin of Error; Income in the past 12 months below poverty level:
HD01_VD03,Estimate; Income in the past 12 months below poverty level: - Native:
HD02_VD03,Margin of Error; Income in the past 12 months below poverty level: - Native:
HD01_VD04,Estimate; Income in the past 12 months below poverty level: - Native: - Born in the United States
HD02_VD04,Margin of Error; Income in the past 12 months below poverty level: - Native: - Born in the United States
HD01_VD05,Estimate; Income in the past 12 months below poverty level: - Native: - Born outside the United States
HD02_VD05,Margin of Error; Income in the past 12 months below poverty level: - Native: - Born outside the United States
HD01_VD06,Estimate; Income in the past 12 months below poverty level: - Foreign born:
HD02_VD06,Margin of Error; Income in the past 12 months below poverty level: - Foreign born:
HD01_VD07,Estimate; Income in the past 12 months below poverty level: - Foreign born: - Naturalized citizen
HD02_VD07,Margin of Error; Income in the past 12 months below poverty level: - Foreign born: - Naturalized citizen
HD01_VD08,Estimate; Income in the past 12 months below poverty level: - Foreign born: - Not a citizen
HD02_VD08,Margin of Error; Income in the past 12 months below poverty level: - Foreign born: - Not a citizen
HD01_VD09,Estimate; Income in the past 12 months at or above poverty level:
HD02_VD09,Margin of Error; Income in the past 12 months at or above poverty level:
HD01_VD10,Estimate; Income in the past 12 months at or above poverty level: - Native:
HD02_VD10,Margin of Error; Income in the past 12 months at or above poverty level: - Native:
HD01_VD11,Estimate; Income in the past 12 months at or above poverty level: - Native: - Born in the United States
HD02_VD11,Margin of Error; Income in the past 12 months at or above poverty level: - Native: - Born in the United States
HD01_VD12,Estimate; Income in the past 12 months at or above poverty level: - Native: - Born outside the United States
HD02_VD12,Margin of Error; Income in the past 12 months at or above poverty level: - Native: - Born outside the United States
HD01_VD13,Estimate; Income in the past 12 months at or above poverty level: - Foreign born:
HD02_VD13,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born:
HD01_VD14,Estimate; Income in the past 12 months at or above poverty level: - Foreign born: - Naturalized citizen
HD02_VD14,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born: - Naturalized citizen
HD01_VD15,Estimate; Income in the past 12 months at or above poverty level: - Foreign born: - Not a citizen
HD02_VD15,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born: - Not a citizen
