GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Household received Food Stamps/SNAP in the past 12 months:
HD02_VD02,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:
HD01_VD03,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family:
HD02_VD03,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family:
HD01_VD04,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - No workers
HD02_VD04,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - No workers
HD01_VD05,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 1 worker
HD02_VD05,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 1 worker
HD01_VD06,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers:
HD02_VD06,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers:
HD01_VD07,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Husband and wife worked
HD02_VD07,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Husband and wife worked
HD01_VD08,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Other
HD02_VD08,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Other
HD01_VD09,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers:
HD02_VD09,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers:
HD01_VD10,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Husband and wife worked
HD02_VD10,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Husband and wife worked
HD01_VD11,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Other
HD02_VD11,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Other
HD01_VD12,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family:
HD02_VD12,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family:
HD01_VD13,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present:"
HD02_VD13,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present:"
HD01_VD14,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - No workers"
HD02_VD14,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - No workers"
HD01_VD15,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 1 worker"
HD02_VD15,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 1 worker"
HD01_VD16,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 2 workers"
HD02_VD16,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 2 workers"
HD01_VD17,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 3 or more workers"
HD02_VD17,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 3 or more workers"
HD01_VD18,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present:"
HD02_VD18,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present:"
HD01_VD19,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - No workers"
HD02_VD19,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - No workers"
HD01_VD20,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - 1 worker"
HD02_VD20,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - 1 worker"
HD01_VD21,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - 2 workers"
HD02_VD21,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - 2 workers"
HD01_VD22,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - 3 or more workers"
HD02_VD22,"Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - 3 or more workers"
HD01_VD23,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:
HD02_VD23,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:
HD01_VD24,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family:
HD02_VD24,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family:
HD01_VD25,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - No workers
HD02_VD25,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - No workers
HD01_VD26,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 1 worker
HD02_VD26,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 1 worker
HD01_VD27,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers:
HD02_VD27,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers:
HD01_VD28,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Husband and wife worked
HD02_VD28,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Husband and wife worked
HD01_VD29,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Other
HD02_VD29,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 2 workers: - Other
HD01_VD30,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers:
HD02_VD30,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers:
HD01_VD31,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Husband and wife worked
HD02_VD31,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Husband and wife worked
HD01_VD32,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Other
HD02_VD32,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Married-couple family: - 3 or more workers: - Other
HD01_VD33,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family:
HD02_VD33,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family:
HD01_VD34,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present:"
HD02_VD34,"Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present:"
HD01_VD35,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - No workers"
HD02_VD35,"Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - No workers"
HD01_VD36,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 1 worker"
HD02_VD36,"Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 1 worker"
HD01_VD37,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 2 workers"
HD02_VD37,"Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 2 workers"
HD01_VD38,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 3 or more workers"
HD02_VD38,"Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Male householder, no wife present: - 3 or more workers"
HD01_VD39,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present:"
HD02_VD39,"Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present:"
HD01_VD40,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - No workers"
HD02_VD40,"Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Other family: - Female householder, no husband present: - No workers"
