GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Household received Food Stamps/SNAP in the past 12 months:
HD02_VD02,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:
HD01_VD03,Estimate; Household received Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over
HD02_VD03,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over
HD01_VD04,Estimate; Household received Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over
HD02_VD04,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over
HD01_VD05,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:
HD02_VD05,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:
HD01_VD06,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over
HD02_VD06,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - At least one person in household 60 years or over
HD01_VD07,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over
HD02_VD07,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No people in household 60 years or over
